BenchmarkJSON/Small/Unmarshal   346794	      1013 ns/op	  66.11 MB/s	      1017 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   413168	      1009 ns/op	  66.41 MB/s	      1010 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   364485	       912.4 ns/op	  73.43 MB/s	       916.6 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   447038	       870.5 ns/op	  76.97 MB/s	       873.6 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   391472	       892.7 ns/op	  75.05 MB/s	       896.0 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   360370	       880.7 ns/op	  76.07 MB/s	       885.4 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII4096/Marshal   346900	      1022 ns/op	4008.56 MB/s	      1029 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   372181	       956.3 ns/op	4285.13 MB/s	       959.1 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   374103	       956.8 ns/op	4282.92 MB/s	       967.3 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   368077	       931.4 ns/op	4399.83 MB/s	       937.1 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   364845	       967.5 ns/op	4235.62 MB/s	       976.9 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   290499	      1107 ns/op	3702.89 MB/s	      1086 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   345502	      1056 ns/op	3881.96 MB/s	      1077 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   385496	       928.0 ns/op	4415.94 MB/s	       929.6 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   398178	       902.7 ns/op	4539.59 MB/s	       905.9 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   347294	      1030 ns/op	3979.91 MB/s	      1038 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   272298	      1305 ns/op	3140.74 MB/s	      1309 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   224359	      1396 ns/op	2934.60 MB/s	      1402 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   253816	      1396 ns/op	2936.51 MB/s	      1398 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal    78592	      4034 ns/op	1015.98 MB/s	      4049 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   222618	      1364 ns/op	3003.45 MB/s	      1370 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   252114	      1451 ns/op	2823.63 MB/s	      1456 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   266616	      1342 ns/op	3052.64 MB/s	      1348 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   231496	      1340 ns/op	3057.26 MB/s	      1358 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   276880	      1292 ns/op	3170.99 MB/s	      1296 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   234493	      1321 ns/op	3102.27 MB/s	      1326 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   303697	      1174 ns/op	3530.08 MB/s	      1180 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   290734	      1223 ns/op	3390.22 MB/s	      1225 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   226798	      1395 ns/op	2972.48 MB/s	      1401 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   278048	      1268 ns/op	3269.97 MB/s	      1275 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   246050	      1351 ns/op	3068.82 MB/s	      1352 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   284110	      1280 ns/op	3240.15 MB/s	      1286 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   305067	      1204 ns/op	3444.77 MB/s	      1214 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   257199	      1220 ns/op	3397.68 MB/s	      1246 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   287325	      1239 ns/op	3345.80 MB/s	      1251 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   287560	      1242 ns/op	3338.99 MB/s	      1249 cpu-ns/op	    4864 B/op	       1 allocs/op
