comparison,case,op,repeat,binary,n,Ir,Bc,Bcm,Bi,Bim
ascii-validate-runs,ASCII4096,Unmarshal,2,encode,200,10075.68,1166.275,10.515,5.845,0.055
ascii-validate-runs,ASCII4096,Unmarshal,2,final,200,10072.92,1165.965,11.465,5.845,0.055
ascii-validate-runs,EscapeRuns,Unmarshal,0,encode,200,144542.885,51187.35,74.4,5.74,0.055
ascii-validate-runs,EscapeRuns,Unmarshal,0,final,200,64833.515,19581.03,84.17,5.88,0.065
ascii-validate-runs,EscapeRuns,Unmarshal,1,final,200,64677.63,19503.54,85.94,8.19,0.065
ascii-validate-runs,EscapeRuns,Unmarshal,1,encode,200,144894.43,51220.295,76.925,8.365,0.065
ascii-validate-runs,EscapeRuns,Unmarshal,2,encode,200,144585.92,51189.32,73.615,5.74,0.055
ascii-validate-runs,EscapeRuns,Unmarshal,2,final,200,64806.245,19581.87,83.75,5.775,0.06
ascii-validate-runs,UnicodeRuns,Unmarshal,0,encode,200,97007.84,33831.91,48.495,5.67,0.055
ascii-validate-runs,UnicodeRuns,Unmarshal,0,final,200,16310.6,2013.85,81.815,5.54,0.055
ascii-validate-runs,UnicodeRuns,Unmarshal,1,final,200,16553.745,2035.96,84.67,6.545,0.055
ascii-validate-runs,UnicodeRuns,Unmarshal,1,encode,200,96806.15,33799.575,47.81,5.675,0.065
ascii-validate-runs,UnicodeRuns,Unmarshal,2,encode,200,97036.955,33830.555,49.18,6.3,0.055
